Date,Solsea,Digital Eyes,Solanart,Total,OpenSea
1627948800000,0.00,0.00,2.00,2.00,"36,773,120.00"
1628035200000,0.00,0.00,21.00,21.00,"57,673,035.00"
1628121600000,0.00,0.00,"13,381.00","13,381.00","52,536,549.00"
1628208000000,0.00,0.00,"71,018.00","71,018.00","63,877,728.31"
1628294400000,0.00,0.00,"143,314.00","143,314.00","53,682,799.00"
1628380800000,0.00,0.00,"191,853.00","191,853.00","71,328,151.00"
1628467200000,0.00,0.00,"168,594.00","168,594.00","66,429,093.00"
1628553600000,0.00,0.00,"115,877.00","115,877.00","65,058,908.00"
1628640000000,0.00,0.00,"99,097.00","99,097.00","56,070,674.00"
1628726400000,0.00,0.00,"110,454.00","110,454.00","52,879,393.00"
1628812800000,0.00,0.00,"93,565.00","93,565.00","60,104,936.00"
1628899200000,0.00,0.00,"575,443.00","575,443.00","75,501,800.00"
1628985600000,0.00,0.00,"3,967,946.00","3,967,946.00","63,588,267.00"
1629072000000,0.00,0.00,"2,258,917.00","2,258,917.00","47,404,438.00"
1629158400000,0.00,0.00,"1,402,334.00","1,402,334.00","43,697,494.00"
1629244800000,0.00,"2,572.00","1,064,109.00","1,066,681.00","49,442,813.00"
1629331200000,0.00,0.00,"1,506,965.00","1,506,965.00","40,475,720.00"
1629417600000,0.00,0.00,"1,459,942.00","1,459,942.00","76,714,844.00"
1629504000000,0.00,0.00,"1,528,982.00","1,528,982.00","112,120,367.00"
1629590400000,0.00,0.00,"1,119,618.00","1,119,618.00","118,289,977.00"
1629676800000,0.00,0.00,"2,158,899.00","2,158,899.00","179,612,361.00"
1629763200000,0.00,0.00,"6,545,814.00","6,545,814.00","202,385,236.00"
1629849600000,0.00,5.00,"4,802,788.00","4,802,793.00","163,168,974.20"
1629936000000,0.00,0.00,"4,518,824.00","4,518,824.00","169,984,253.38"
1630022400000,0.00,"647,873.00","6,194,606.00","6,842,479.00","161,172,391.00"
1630108800000,0.00,"806,950.00","9,979,655.00","10,786,605.00","224,581,302.00"
1630195200000,0.00,"756,682.00","7,324,189.00","8,080,871.00","302,636,240.00"
1630281600000,0.00,"4,933,546.00","23,926,304.00","28,859,850.00","252,245,300.00"
1630368000000,0.00,"13,681,629.00","29,982,709.66","43,664,338.66","163,695,605.55"
1630454400000,0.00,"6,353,070.00","27,060,921.00","33,413,991.00","162,443,473.29"
1630540800000,0.00,"1,337,586.00","10,979,014.00","12,316,600.00","181,445,251.00"
1630627200000,0.00,"2,754,836.00","12,329,876.00","15,084,712.00","152,281,179.15"
1630713600000,"302,477.00","2,135,189.00","9,663,357.00","12,101,023.00","122,760,037.00"
1630800000000,"156,712.00","2,478,765.00","7,229,353.00","9,864,830.00","125,763,130.00"
1630886400000,0.00,"2,944,131.00","5,796,330.00","8,740,461.00","118,065,759.00"
1630972800000,0.00,"2,627,869.00","6,634,750.00","9,262,619.00","99,730,834.00"
1631059200000,0.00,"3,332,353.00","7,506,269.00","10,838,622.00","76,832,067.00"
1631145600000,0.00,"2,379,736.00","6,057,545.00","8,437,281.00","84,257,140.00"
1631232000000,0.00,"1,371,856.00","3,104,899.00","4,476,755.00","60,016,156.00"
