"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Token_ID","Method"
"0xde10534d19d89ba8a94d3bceca50d1716d82f5184f0f39c59560ecca63dc04fb","13250672","1631981316","2021-09-18 16:08:36","0x0000000000000000000000000000000000000000","0xef2211dfd2e287a0a8d6505c6247bbe0db74ed91","0", "Whitelisted Mints"
"0x306ee1a51db8536fc852bbab079e5cdd908375a7926414ef0db510982a61d340","13250674","1631981336","2021-09-18 16:08:56","0x0000000000000000000000000000000000000000","0x4eff3562075c5d2d9cb608139ec2fe86907005fa","1", "Whitelisted Mints"
"0x216571ffba05e484074787f694a3237a3423962bd6a64b010b98718f3497dd9d","13250674","1631981336","2021-09-18 16:08:56","0x0000000000000000000000000000000000000000","0xa7818c675469c3a09fe6d26f6b17a33b3efb93c5","2", "Whitelisted Mints"
"0x5306de3dfabd2ed80662242e7aef8e7bdba3d639e625af3f2fd34e5f8cff8154","13250675","1631981346","2021-09-18 16:09:06","0x0000000000000000000000000000000000000000","0x901b77356b0d435adbc9a71ae47190e5a98cf74b","3", "Whitelisted Mints"
"0x68fe742d57a026c00bbf0507fcdbb50007870dc5c02addc94e5fa54fad951019","13250675","1631981346","2021-09-18 16:09:06","0x0000000000000000000000000000000000000000","0xf0ec5e636b054dcee746dfa9926a03b3e52297eb","4", "Whitelisted Mints"
"0xed85ec49ce6f02f81996b2afb9fe2ad31430947419948cc4d907576bdc0abaa4","13250676","1631981350","2021-09-18 16:09:10","0x0000000000000000000000000000000000000000","0x2286826b403961bf1cbe1774097134e3cffc2f89","5", "Whitelisted Mints"
"0xee99dfb62dc57b06925e5e2b5eb13ec1634dbb59bb63efa231abcd20b0ed07b6","13250677","1631981358","2021-09-18 16:09:18","0x0000000000000000000000000000000000000000","0x3e5da968101d0a0a0fe198ead94856b07b81d57d","6", "Whitelisted Mints"
"0xff082f803db061cc4b006d473324c30e25f3b0ac17e2381fa47e738add79850f","13250677","1631981358","2021-09-18 16:09:18","0x0000000000000000000000000000000000000000","0x63fc59639d1bc847040419ca5bbd67121f4f61ce","7", "Whitelisted Mints"
"0x9212a9e18636b313dc70a36ae80e6b880ede1baed3ef6784054164bbda9cf5eb","13250680","1631981374","2021-09-18 16:09:34","0x0000000000000000000000000000000000000000","0x9efcdf461541da1f91727f2907e18c8f1dcb2be9","8", "Whitelisted Mints"
"0x3fb9adbd46e28e7a54db32ec1c641b93723477b1dde180a8f69f3a9a2cb599cb","13250680","1631981374","2021-09-18 16:09:34","0x0000000000000000000000000000000000000000","0xb5fa2c017f18d281e5b2e6ba9b5aa9301201714e","9", "Whitelisted Mints"
"0xc76fa3cea3bb1dfac4e3f5cd66acfc5fad6bbe47bc33980a64efc92da6ef5d5b","13250680","1631981374","2021-09-18 16:09:34","0x0000000000000000000000000000000000000000","0x6e2959c78e3a0c0426fba49371c93c36fbc371cd","10", "Whitelisted Mints"
