Date,Solsea,Digital Eyes,Solanart,Total,OpenSea
1634342400000,"£81,270","£314,334","£3,110,920","£3,506,524","£61,579,622"
1634428800000,"£220,503","£230,062","£3,658,962","£4,109,527","£67,435,231"
1634515200000,"£95,006","£313,546","£6,891,750","£7,300,302","£71,757,079"
1634601600000,"£270,141","£316,987","£3,742,470","£4,329,598","£52,873,167"
1634688000000,"£130,519","£175,858","£3,659,758","£3,966,135","£46,091,825"
1634774400000,"£101,838","£315,945","£2,840,447","£3,258,230","£59,200,513"
1634860800000,"£64,715","£224,602","£2,364,286","£2,653,603","£69,636,785"
1634947200000,"£91,204","£201,982","£3,011,484","£3,304,670","£70,185,235"
1635033600000,"£63,143","£202,669","£7,253,087","£7,518,899","£56,313,685"
1635120000000,"£50,609","£223,061","£4,827,072","£5,100,742","£53,754,581"
